ID,Auteur(s),Titre,Date de création,Organisme,Région ,couleur,"Avec typo
ou sans typo",Style de typo 
1,"ATELIER DE CRÉATION GRAPHIQUE, Pierre BERNARD",Affiche Attention Travaux,1996,Musée national d'art moderne / Centre de création industrielle,Paris,#F0602F,Oui,Sans serif
2,"ATELIER DE CRÉATION GRAPHIQUE, Pierre BERNARD",Affiche Pierre et Gilles,1996,Musée national d'art moderne / Centre de création industrielle,Paris,82796D,Oui,Serif
3,"ATELIER DE CRÉATION GRAPHIQUE, Pierre BERNARD",Affiche All's well that sells well,1997,Musée national d'art moderne / Centre de création industrielle,Paris,D9D8EC,Oui,Sans serif
4,"ATELIER DE CRÉATION GRAPHIQUE, Pierre BERNARD",Affiche SOS - Kinderdorf,1997,Musée national d'art moderne / Centre de création industrielle,Paris,7E7C76,Oui,Divers
5,ATELIER DE CRÉATION GRAPHIQUE,Affiche 3ème mois du graphisme d'Echirolles,1992,Musée national d'art moderne / Centre de création industrielle,Paris,303030,Oui,Sans serif
6,ATELIER TAMANOIR,Affiche Le tour 95,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D8D87A,Oui ,Sans serif
7,Claude BAILLARGEON,Affiche La photographie,1997,Musée national d'art moderne / Centre de création industrielle,Paris,171717,Oui,Sans serif
8,André BALDINGER,Affiche Appel à candidatures,1993,Musée national d'art moderne / Centre de création industrielle,Paris,784831,Non ,Null
9,"Jean-Marc BALLÉE, Sylvain ENGUEHARD",Affiche Expo,1990,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Oui,Sans serif
10,Jean-Marc BALLÉE,Affiche exposition,1991,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Oui,Sans serif
11,Jean-Marc BALLÉE,"Affiche Planche du livret de l'exposition ""En quête d'objets"", Galerie des Enfants, au Centre Pompidou, de janvier à août 2000",1999,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Non ,Null
12,"Ruedi BAUR (Rodolphe BAUR, dit), Félix MÜLLER",Affiche Les seringues,1995,Musée national d'art moderne / Centre de création industrielle,Paris,483131,Non ,Null
13,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Mode d'emploi,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
14,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Tout près d'ici nos prisons,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D5D748,Oui,Sans serif
15,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Tout près d'ici nos prisons,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui,Sans serif
16,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Editorial,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui,Sans serif
17,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Points de vue,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui,Sans serif
18,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche L'observatoire,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui,Sans serif
19,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Dire le droit,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui,Sans serif
20,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La protection juridique des personnes détenues,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui,Sans serif
21,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les prisonniers ont des droits,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
22,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La peine de mort,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
23,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La torture,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
24,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les mauvais traitements,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Oui,Sans serif
25,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les suicides,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
26,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les femmes,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
27,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les mineurs,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
28,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche L'alimentation,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
29,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche L'hygiène,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
30,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La santé,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
31,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Le sida,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
32,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La toxicomanie,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
33,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La sexualité,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
34,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les liens familiaux,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
35,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La garde à vue,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
36,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Le droit de défense,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
37,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les locaux,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
38,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La surpopulation,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
39,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les régimes de détention,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
40,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche L'isolement,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
41,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les sanctions disciplinaires,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
42,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les mouvements de contestations,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
43,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Les surveillants,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
44,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Racisme et discriminations,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Oui,Sans serif
45,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Le travail,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Oui ,Sans serif
46,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La formation,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
47,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche La culture,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui ,Sans serif
48,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Témoignages,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui ,Sans serif
49,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Complicités,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Oui ,Sans serif
50,"Ruedi BAUR (Rodolphe BAUR, dit)",Affiche Agir avec l'OIP,1995,Musée national d'art moderne / Centre de création industrielle,Paris,D7BF2F,Non ,Null
51,Polly BERTRAM,Affiche Mains et barreaux,1995,Musée national d'art moderne / Centre de création industrielle,Paris,F0F0F0,Oui,Sans serif
52,Julia BINFIELD,Affiche Networks & system management Olivetti,1993,Musée national d'art moderne / Centre de création industrielle,Paris,D7D7D6,Oui,Divers
53,Jean-Claude BLANCHARD,Affiche Mumia Abu-Jamal,1999,Musée national d'art moderne / Centre de création industrielle,Paris,494949,Oui,Sans serif
54,François BOISROND,Affiche pour la fête de la musique,1999,Centre national des arts plastiques/Fonds national d'art contemporain,Paris,D7D7D6,Oui ,Sans serif
55,François BOISROND,Affiche pour la fête de la musique,1999,Centre national des arts plastiques/Fonds national d'art contemporain,Paris,D7D7EC,Oui ,Sans serif
56,François BOISROND,Affiche pour la fête de la musique,1999,Centre national des arts plastiques/Fonds national d'art contemporain,Paris,D7D7D6,Oui ,Sans serif
57,François BOISROND,Affiche Etude pour la fête de la musique,1999,Centre national des arts plastiques/Fonds national d'art contemporain,Paris,F0F0F0,Oui,Divers
58,Michel BOUVET,Affiche pour la fête de la musique,1992,Centre national des arts plastiques/Fonds national d'art contemporain,Paris,D7D7D6,Oui,Divers
59,Michel BOUVET,Affiche pour la fête de la musique,1992,Centre national des arts plastiques/Fonds national d'art contemporain,Paris,F0F0F0,Oui,Sans serif
